Feature,Importance
precip_mm,0.6027954
humidity,0.1113854
visibility_km,0.04675939
air_quality_PM10,0.046425734
last_updated_epoch,0.020864464
feels_like_celsius,0.018164737
pressure_mb,0.016151479
uv_index,0.014310207
longitude,0.013028633
latitude,0.012592966
temperature_celsius,0.01147768
wind_kph,0.010721616
air_quality_us-epa-index,0.009523763
air_quality_PM2.5,0.0095174955
gust_kph,0.008183232
wind_direction,0.008168645
wind_degree,0.00744402
air_quality_Carbon_Monoxide,0.007419077
air_quality_Sulphur_dioxide,0.006629851
air_quality_Ozone,0.0065541957
air_quality_gb-defra-index,0.0060519394
air_quality_Nitrogen_dioxide,0.005830159
